Lexie's opinion!,,class,label,description
,810,student.share_highincome.75001_110000,INC_PCT_H1,"Aided students with family incomes between $75,001-$110,000 in nominal dollars"
,811,completion.title_iv.low_inc.transf_withdrawn_2yr_by.3yrs,LO_INC_WDRAW_2YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years"
,812,cost.title_iv.program_reporter.by_income_level.30001-48000,NUM42_PROG,"Number of Title IV students, $30,001-$48,000 family income (program-year institutions)"
,813,completion.title_iv.loan_recip.withdrawn_by.3yrs,LOAN_WDRAW_ORIG_YR3_RT,Percent of students who received a federal loan at the institution and withdrew from original institution within 3 years
,814,completion.title_iv.low_inc.transf_withdrawn_4yr_by.4yrs,LO_INC_WDRAW_4YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 4 years"
,815,completion.title_iv.male.transf_unknown_2yr_by.3yrs,MALE_UNKN_2YR_TRANS_YR3_RT,Percent of male students who transferred to a 2-year institution and whose status is unknown within 3 years
,816,completion.title_iv.depend.withdrawn_by.2yrs,DEP_WDRAW_ORIG_YR2_RT,Percent of dependent students withdrawn from original institution within 2 years 
,817,completion.title_iv.low_inc.transf_unknown_2yr_by.4yrs,LO_INC_UNKN_2YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 4 years"
,818,completion.title_iv.high_inc.transf_withdrawn_2yr_by.3yrs,HI_INC_WDRAW_2YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years"
,819,completion.6_yr_completion.overall,OVERALL_YR6_N,Number of students in overall 6-year completion cohort
,820,completion.title_iv.depend.died_by.3yrs,DEP_DEATH_YR3_RT,Percent of dependent students who died within 3 years at original institution
,821,completion.8_yr_completion.overall,OVERALL_YR8_N,Number of students in overall 8-year completion cohort
,822,completion.title_iv.low_inc.transf_withdrawn_4yr_by.8yrs,LO_INC_WDRAW_4YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 8 years"
,823,completion.title_iv.male.completed_by.8yrs,MALE_COMP_ORIG_YR8_RT,Percent of male students who completed within 8 years at original institution
,824,student.avg_independent_income.2014dollars,IND_INC_AVG,Average family income of independent students in real 2014 dollars. 
,825,completion.title_iv.loan_recip.transf_completed_2yr_by.3yrs,LOAN_COMP_2YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 3 years
,826,completion.title_iv.loan_recip.transf_withdrawn_2yr_by.6yrs,LOAN_WDRAW_2YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 6 years
,827,completion.title_iv.no_loan.transf_completed_4yr_by.4yrs,NOLOAN_COMP_4YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 4 years
,828,cost.title_iv.private.by_income_level.110001-plus,NUM45_PRIV,"Number of Title IV students, $110,000+ family income (private for-profit and nonprofit institutions)"
,829,repayment.3_yr_repayment.income.greater_than_75000,HI_INC_RPY_3YR_RT,"Three-year repayment rate by family income ($75,000+)"
,830,completion.title_iv.mid_inc.transf_withdrawn_4yr_by.2yrs,MD_INC_WDRAW_4YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years "
,831,completion.title_iv.first_gen.transf_withdrawn_2yr_by.2yrs,FIRSTGEN_WDRAW_2YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 2-year institution and withdrew within 2 years 
,832,admissions.sat_scores.75th_percentile.writing,SATWR75,75th percentile of SAT scores at the institution (writing)
,833,completion.title_iv.low_inc.transf_withdrawn_2yr_by.8yrs,LO_INC_WDRAW_2YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 8 years"
,834,academics.program.certificate_lt_1_yr.engineering_technology,CIP15CERT1,Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields.
,835,school.name,INSTNM,Institution name
,836,earnings.6_yrs_after_entry.mean_earnings.female_students,mn_earn_wne_male0_p6,Mean earnings of female students working and not enrolled 6 years after entry
,837,completion.title_iv.loan_recip.transf_unknown_2yr_by.3yrs,LOAN_UNKN_2YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years
,838,student.demographics.age_entry,age_entry,"Average age of entry, via SSA data"
,839,repayment.3_yr_repayment_suppressed.non_completers,NONCOM_RPY_3YR_RT_SUPP,"3-year repayment rate for non-completers, suppressed for n=30"
,840,earnings.10_yrs_after_entry.working_not_enrolled.income.middle_tercile,count_wne_inc2_p10,Number of students working and not enrolled 10 years after entry in the middle income tercile
,841,completion.title_iv.no_loan.transf_unknown_4yr_by.8yrs,NOLOAN_UNKN_4YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 8 years
,842,completion.title_iv.female.died_by.2yrs,FEMALE_DEATH_YR2_RT,Percent of female students who died within 2 years at original institution
,843,completion.title_iv.low_inc.transf_unknown_2yr_by.8yrs,LO_INC_UNKN_2YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 8 years"
,844,completion.title_iv.no_pell.completed_by.2yrs,NOPELL_COMP_ORIG_YR2_RT,Percent of students who never received a Pell Grant at the institution and who completed in 2 years at original institution
,845,academics.program.certificate_lt_4_yr.legal,CIP22CERT4,Award of more than two but less than four academic years in Legal Professions And Studies.
,846,aid.median_debt.number.first_generation_students,FIRSTGEN_DEBT_N,The number of students in the median debt first-generation students cohort
,847,repayment.1_yr_repayment.completers,COMPL_RPY_1YR_N,Number of students in the 1-year repayment rate of completers cohort
,848,completion.title_iv.pell_recip.transf_completed_4yr_by.8yrs,PELL_COMP_4YR_TRANS_YR8_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 8 years
,849,repayment.1_yr_repayment.dependent_students,DEP_RPY_1YR_N,Number of students in the 1-year repayment rate of dependent students cohort
,850,completion.title_iv.high_inc.transf_unknown_4yr_by.8yrs,HI_INC_UNKN_4YR_TRANS_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 8 years"
,851,completion.title_iv.loan_recip.transf_unknown_4yr_by.2yrs,LOAN_UNKN_4YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years
,852,academics.program.bachelors.multidiscipline,CIP30BACHL,Bachelor's degree in Multi/Interdisciplinary Studies.
,853,academics.program.certificate_lt_1_yr.security_law_enforcement,CIP43CERT1,"Certificate of less than one academic year in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
,854,cost.tuition.out_of_state,TUITIONFEE_OUT,Out-of-state tuition and fees
,855,admissions.act_scores.25th_percentile.english,ACTEN25,25th percentile of the ACT English score
,856,repayment.5_yr_repayment.noncompleters,NONCOM_RPY_5YR_N,Number of students in the 5-year repayment rate of non-completers cohort
,857,earnings.10_yrs_after_entry.mean_earnings.independent_students,mn_earn_wne_indep1_p10,Mean earnings of independent students working and not enrolled 10 years after entry
,858,earnings.student_count,count_ed,Count of students in the earnings cohort
,859,completion.title_iv.female.still_enrolled_by.2yrs,FEMALE_ENRL_ORIG_YR2_RT,Percent of female students who were still enrolled at original institution within 2 years 
,860,completion.title_iv.mid_inc.transf_still_enrolled_4yr_by.6yrs,MD_INC_ENRL_4YR_TRANS_YR6_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 6 years"
,861,academics.program.certificate_lt_4_yr.computer,CIP11CERT4,Award of more than two but less than four academic years in Computer And Information Sciences And Support Services.
,862,completion.title_iv.no_loan.transf_still_enrolled_2yr_by.4yrs,NOLOAN_ENRL_2YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 4 years
,863,student.fafsa_sent.5plus_college_allyrs,APPL_SCH_PCT_GE5,Number of applications is greater than or equal to 5
,864,completion.title_iv.loan_recip.unknown_by.6yrs,LOAN_UNKN_ORIG_YR6_RT,Percent of students who received a federal loan at the institution and with status unknown within 6 years at original institution
,865,repayment.5_yr_repayment.non_first_generation_students,NOTFIRSTGEN_RPY_5YR_N,Number of students in the 5-year repayment rate of not-first-generation students cohort
,866,completion.completion_rate_4yr_150_black,C150_4_BLACK,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for black students"
,867,student.share_independent_students,DEP_STAT_PCT_IND,Percentage of students who are financially independent
,868,completion.title_iv.mid_inc.died_by.3yrs,MD_INC_DEATH_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 3 years at original institution"
,869,completion.title_iv.loan_recip.completed_by.6yrs,LOAN_COMP_ORIG_YR6_RT,Percent of students who received a federal loan at the institution and who completed in 6 years at original institution
,870,academics.program.certificate_lt_4_yr.visual_performing,CIP50CERT4,Award of more than two but less than four academic years in Visual And Performing Arts.
,871,completion.title_iv.female.withdrawn_by.4yrs,FEMALE_WDRAW_ORIG_YR4_RT,Percent of female students withdrawn from original institution within 4 years
,872,completion.title_iv.not_first_gen.transf_completed_2yr_by.2yrs,NOT1STGEN_COMP_2YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 2-year institution and completed within 2 years
,873,academics.program.certificate_lt_2_yr.social_science,CIP45CERT2,Certificate of at least one but less than two academic years in Social Sciences.
,874,completion.title_iv.independ.transf_completed_4yr_by.4yrs,IND_COMP_4YR_TRANS_YR4_RT,Percent of independent students who transferred to a 4-year institution and completed within 4 years
,875,student.demographics.race_ethnicity.unknown,UGDS_UNKN,Total share of enrollment of undergraduate degree-seeking students whose race is unknown
,876,completion.title_iv.depend.transf_unknown_2yr_by.3yrs,DEP_UNKN_2YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 3 years
,877,academics.program.certificate_lt_1_yr.science_technology,CIP41CERT1,Certificate of less than one academic year in Science Technologies/Technicians.
,878,completion.pooled_yrs_used,poolyrs,Years used for rolling averages of completion rate C150_[4/L4]_POOLED
,879,completion.title_iv.loan_recip.transf_still_enrolled_4yr_by.6yrs,LOAN_ENRL_4YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 6 years
,880,completion.title_iv.transf_still_enrolled_2yr_by.6yrs,ENRL_2YR_TRANS_YR6_RT,Percent who transferred to a 2-year institution and were still enrolled within 6 years
,881,completion.title_iv.male.transf_completed_2yr_by.6yrs,MALE_COMP_2YR_TRANS_YR6_RT,Percent of male students who transferred to a 2-year institution and completed within 6 years
,882,completion.title_iv.no_pell.transf_withdrawn_4yr_by.8yrs,NOPELL_WDRAW_4YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 8 years
,883,completion.title_iv.male.transf_withdrawn_2yr_by.2yrs,MALE_WDRAW_2YR_TRANS_YR2_RT,Percent of male students who transferred to a 2-year institution and withdrew within 2 years 
,884,completion.4_yr_completion.pell_grant,PELL_YR4_N,Number of Pell students in overall 4-year completion cohort
,885,completion.title_iv.depend.transf_still_enrolled_4yr_by.2yrs,DEP_ENRL_4YR_TRANS_YR2_RT,Percent of dependent students who transferred to a 4-year institution and were still enrolled within 2 years 
,886,cost.net_price.program_reporter.by_income_level.75000-plus,NPT4_75UP_PROG,"Average net price for $75,000+ family income (program-year institutions)"
,887,school.state,STABBR,State postcode
,888,completion.title_iv.low_inc.still_enrolled_by.3yrs,LO_INC_ENRL_ORIG_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 3 years"
,889,academics.program.bachelors.precision_production,CIP48BACHL,Bachelor's degree in Precision Production.
,890,completion.title_iv.low_inc.transf_still_enrolled_4yr_by.6yrs,LO_INC_ENRL_4YR_TRANS_YR6_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 6 years"
,891,repayment.1_yr_repayment.independent_students,IND_RPY_1YR_N,Number of students in the 1-year repayment rate of independent students cohort
,892,completion.completion_cohort_4yr_150nt,D150_4,Adjusted cohort count for completion rate at four-year institutions (denominator of completion rate)
,893,earnings.6_yrs_after_entry.working_not_enrolled.mean_earnings,mn_earn_wne_p6,Mean earnings of students working and not enrolled 6 years after entry
,894,completion.title_iv.mid_inc.transf_unknown_2yr_by.8yrs,MD_INC_UNKN_2YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 8 years"
,895,completion.title_iv.no_pell.withdrawn_by.6yrs,NOPELL_WDRAW_ORIG_YR6_RT,Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 6 years
,896,completion.title_iv.low_inc.transf_unknown_2yr_by.3yrs,LO_INC_UNKN_2YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years"
,897,completion.title_iv.not_first_gen.unknown_by.6yrs,NOT1STGEN_UNKN_ORIG_YR6_RT,Percent of not-first-generation students with status unknown within 6 years at original institution
,898,completion.8_yr_completion.female_students,FEMALE_YR8_N,Number of female students in overall 8-year completion cohort
,899,academics.program_percentage.personal_culinary,PCIP12,Percentage of degrees awarded in Personal And Culinary Services.
,900,completion.title_iv.loan_recip.transf_completed_4yr_by.4yrs,LOAN_COMP_4YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and completed within 4 years
,901,completion.title_iv.first_gen.transf_still_enrolled_4yr_by.6yrs,FIRSTGEN_ENRL_4YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 6 years
,902,completion.title_iv.pell_recip.still_enrolled_by.6yrs,PELL_ENRL_ORIG_YR6_RT,Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 6 years
,903,repayment.3_yr_repayment_suppressed.female_students,FEMALE_RPY_3YR_RT_SUPP,"3-year repayment rate for female students, suppressed for n=30"
,904,completion.title_iv.female.withdrawn_by.2yrs,FEMALE_WDRAW_ORIG_YR2_RT,Percent of female students withdrawn from original institution within 2 years 
,905,completion.title_iv.no_pell.transf_unknown_2yr_by.6yrs,NOPELL_UNKN_2YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 6 years
,906,completion.title_iv.first_gen.still_enrolled_by.2yrs,FIRSTGEN_ENRL_ORIG_YR2_RT,Percent of first-generation students who were still enrolled at original institution within 2 years 
,907,cost.title_iv.other_acad_calendar.by_income_level.75001-110000,NUM44_OTHER,"Number of Title IV students, $75,001-$110,000 family income (other academic calendar institutions)"
,908,aid.median_debt.number.completers,GRAD_DEBT_N,The number of students in the median debt completers cohort
,909,repayment.1_yr_repayment.male_students,MALE_RPY_1YR_N,Number of students in the 1-year repayment rate of male students cohort
,910,student.share_firstgeneration,PAR_ED_PCT_1STGEN,Percentage first-generation students
,911,completion.title_iv.first_gen.transf_unknown_4yr_by.3yrs,FIRSTGEN_UNKN_4YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 3 years
,912,completion.title_iv.pell_recip.transf_still_enrolled_2yr_by.3yrs,PELL_ENRL_2YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 3 years
,913,student.demographics.first_generation,first_gen,Share of first-generation students
,914,academics.program.certificate_lt_1_yr.military,CIP29CERT1,Certificate of less than one academic year in Military Technologies And Applied Sciences.
,915,completion.title_iv.mid_inc.transf_withdrawn_2yr_by.3yrs,MD_INC_WDRAW_2YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years"
,916,completion.title_iv.no_pell.transf_unknown_4yr_by.3yrs,NOPELL_UNKN_4YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years
,917,repayment.3_yr_repayment.female_students,FEMALE_RPY_3YR_N,Number of students in the 3-year repayment rate of female students cohort
,918,completion.completion_rate_l4yr_150_aian,C150_L4_AIAN,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for American Indian/Alaska Native students"
,919,completion.title_iv.depend.transf_completed_2yr_by.4yrs,DEP_COMP_2YR_TRANS_YR4_RT,Percent of dependent students who transferred to a 2-year institution and completed within 4 years
,920,completion.title_iv.low_inc.transf_withdrawn_2yr_by.4yrs,LO_INC_WDRAW_2YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 4 years"
,921,completion.title_iv.no_pell.withdrawn_by.3yrs,NOPELL_WDRAW_ORIG_YR3_RT,Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 3 years
,922,completion.title_iv.independ.completed_by.2yrs,IND_COMP_ORIG_YR2_RT,Percent of independent students who completed within 2 years at original institution
,923,completion.title_iv.independ.transf_withdrawn_2yr_by.6yrs,IND_WDRAW_2YR_TRANS_YR6_RT,Percent of independent students who transferred to a 2-year institution and withdrew within 6 years
,924,student.share_first.time_full.time,PFTFTUG1_EF,"Share of undergraduate students who are first-time, full-time degree-/certificate-seeking undergraduate students"
,925,repayment.5_yr_repayment.no_pell_grant,NOPELL_RPY_5YR_N,Number of students in the 5-year repayment rate of no-Pell students cohort
,926,repayment.3_yr_repayment_suppressed.income.high_income,HI_INC_RPY_3YR_RT_SUPP,"3-year repayment rate for high-income (above $75,000 in nominal family income) students, suppressed for n=30"
,927,academics.program.bachelors.biological,CIP26BACHL,Bachelor's degree in Biological And Biomedical Sciences.
,928,completion.title_iv.low_inc.transf_unknown_4yr_by.4yrs,LO_INC_UNKN_4YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 4 years"
,929,student.demographics.race_ethnicity.aian_2000,UG_AIANOld,Total share of enrollment of undergraduate students who are American Indian/Alaska Native
,930,completion.title_iv.no_loan.transf_withdrawn_4yr_by.6yrs,NOLOAN_WDRAW_4YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 6 years
,931,completion.title_iv.high_inc.transf_unknown_4yr_by.3yrs,HI_INC_UNKN_4YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years"
,932,cost.net_price.private.by_income_level.110001-plus,NPT45_PRIV,"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)"
,933,completion.title_iv.male.transf_unknown_4yr_by.8yrs,MALE_UNKN_4YR_TRANS_YR8_RT,Percent of male students who transferred to a 4-year institution and whose status is unknown within 8 years
,934,completion.title_iv.depend.transf_still_enrolled_2yr_by.2yrs,DEP_ENRL_2YR_TRANS_YR2_RT,Percent of dependent students who transferred to a 2-year institution and were still enrolled within 2 years
,935,completion.title_iv.female.transf_unknown_4yr_by.8yrs,FEMALE_UNKN_4YR_TRANS_YR8_RT,Percent of female students who transferred to a 4-year institution and whose status is unknown within 8 years
,936,student.demographics.race_ethnicity.black_2000,UG_BLACKNH,Total share of enrollment of undergraduate students who are black non-Hispanic
,937,completion.title_iv.no_pell.completed_by.3yrs,NOPELL_COMP_ORIG_YR3_RT,Percent of students who never received a Pell Grant at the institution and who completed in 3 years at original institution
,938,completion.title_iv.withdrawn_by.4yrs,WDRAW_ORIG_YR4_RT,Percent withdrawn from original institution within 4 years
,939,completion.title_iv.loan_recip.transf_withdrawn_4yr_by.4yrs,LOAN_WDRAW_4YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 4 years
,940,completion.title_iv.high_inc.transf_still_enrolled_2yr_by.4yrs,HI_INC_ENRL_2YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 4 years"
,941,completion.title_iv.independ.transf_withdrawn_4yr_by.2yrs,IND_WDRAW_4YR_TRANS_YR2_RT,Percent of independent students who transferred to a 4-year institution and withdrew within 2 years 
,942,student.demographics.dependent,dependent,Share of dependent students
,943,completion.title_iv.transf_withdrawn_4yr_by.2yrs,WDRAW_4YR_TRANS_YR2_RT,Percent who transferred to a 4-year institution and withdrew within 2 years 
,944,academics.program_percentage.family_consumer_science,PCIP19,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.
,945,completion.title_iv.mid_inc.transf_unknown_2yr_by.6yrs,MD_INC_UNKN_2YR_TRANS_YR6_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 6 years"
,946,student.demographics.race_ethnicity.hispanic_2000,UG_HISPOld,Total share of enrollment of undergraduate students who are Hispanic
,947,academics.program.certificate_lt_4_yr.resources,CIP03CERT4,Award of at least two but less than four academic years in Natural Resources And Conservation.
,948,completion.title_iv.no_pell.transf_withdrawn_4yr_by.6yrs,NOPELL_WDRAW_4YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 6 years
,949,completion.title_iv.no_loan.transf_withdrawn_4yr_by.4yrs,NOLOAN_WDRAW_4YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 4 years
,950,completion.title_iv.female.transf_still_enrolled_4yr_by.6yrs,FEMALE_ENRL_4YR_TRANS_YR6_RT,Percent of female students who transferred to a 4-year institution and were still enrolled within 6 years
,951,completion.title_iv.male.transf_still_enrolled_4yr_by.2yrs,MALE_ENRL_4YR_TRANS_YR2_RT,Percent of male students who transferred to a 4-year institution and were still enrolled within 2 years 
,952,cost.net_price.other_acad_calendar.by_income_level.75001-110000,NPT44_OTHER,"Average net price for $75,001-$110,000 family income (other academic calendar institutions)"
,953,cost.avg_net_price.public,NPT4_PUB,Average net price for Title IV institutions (public institutions)
,954,academics.program.assoc.transportation,CIP49ASSOC,Associate degree in Transportation And Materials Moving.
,955,completion.title_iv.low_inc.transf_unknown_2yr_by.6yrs,LO_INC_UNKN_2YR_TRANS_YR6_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 6 years"
,956,school.under_investigation,HCM2,Schools that are on Heightened Cash Monitoring 2 by the Department of Education
,957,student.size,UGDS,Enrollment of undergraduate degree-seeking students
,958,academics.program.certificate_lt_2_yr.public_administration_social_service,CIP44CERT2,Certificate of at least one but less than two academic years in Public Administration And Social Service Professions.
,959,completion.title_iv.not_first_gen.transf_still_enrolled_2yr_by.2yrs,NOT1STGEN_ENRL_2YR_TRANS_YR2_RT,Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 2 years
,960,completion.title_iv.low_inc.still_enrolled_by.6yrs,LO_INC_ENRL_ORIG_YR6_RT,"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 6 years"
,961,completion.title_iv.transf_unknown_2yr_by.6yrs,UNKN_2YR_TRANS_YR6_RT,Percent who transferred to a 2-year institution and whose status is unknown within 6 years
,962,completion.title_iv.loan_recip.transf_unknown_4yr_by.6yrs,LOAN_UNKN_4YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 6 years
,963,completion.title_iv.transf_still_enrolled_2yr_by.2yrs,ENRL_2YR_TRANS_YR2_RT,Percent who transferred to a 2-year institution and were still enrolled within 2 years
,964,completion.title_iv.first_gen.transf_still_enrolled_4yr_by.2yrs,FIRSTGEN_ENRL_4YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 2 years 
,965,completion.title_iv.not_first_gen.transf_completed_2yr_by.4yrs,NOT1STGEN_COMP_2YR_TRANS_YR4_RT,Percent of not-first-generation students who transferred to a 2-year institution and completed within 4 years
,966,student.FAFSA_applications,APPL_SCH_N,Number of students in the FAFSA applications cohort
,967,repayment.3_yr_repayment_suppressed.male_students,MALE_RPY_3YR_RT_SUPP,"3-year repayment rate for male students, suppressed for n=30"
,968,academics.program.assoc.construction,CIP46ASSOC,Associate degree in Construction Trades.
,969,completion.completion_rate_l4yr_150_hispanic,C150_L4_HISP,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for Hispanic students"
,970,completion.title_iv.independ.completed_by.6yrs,IND_COMP_ORIG_YR6_RT,Percent of independent students who completed within 6 years at original institution
,971,completion.title_iv.pell_recip.transf_still_enrolled_4yr_by.2yrs,PELL_ENRL_4YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 2 years 
,972,repayment.1_yr_repayment.female_students,FEMALE_RPY_1YR_N,Number of students in the 1-year repayment rate of female students cohort
,973,completion.title_iv.not_first_gen.transf_completed_2yr_by.8yrs,NOT1STGEN_COMP_2YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 2-year institution and completed within 8 years
,974,completion.title_iv.pell_recip.died_by.2yrs,PELL_DEATH_YR2_RT,Percent of students who received a Pell Grant at the institution and who died within 2 years at original institution
,975,aid.pell_grant_rate,PCTPELL,Percentage of undergraduates who receive a Pell Grant
,976,academics.program.certificate_lt_1_yr.construction,CIP46CERT1,Certificate of less than one academic year in Construction Trades.
,977,school.degrees_awarded.predominant_recoded,sch_deg,Predominant degree awarded (recoded 0s and 4s)
,978,completion.title_iv.mid_inc.still_enrolled_by.6yrs,MD_INC_ENRL_ORIG_YR6_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 6 years"
,979,completion.title_iv.independ.transf_withdrawn_4yr_by.6yrs,IND_WDRAW_4YR_TRANS_YR6_RT,Percent of independent students who transferred to a 4-year institution and withdrew within 6 years
,980,aid.cumulative_debt.25th_percentile,CUML_DEBT_P25,Cumulative loan debt at the 25th percentile
,981,completion.title_iv.pell_recip.died_by.4yrs,PELL_DEATH_YR4_RT,Percent of students who received a Pell Grant at the institution and who died within 4 years at original institution
,982,completion.title_iv.pell_recip.withdrawn_by.6yrs,PELL_WDRAW_ORIG_YR6_RT,Percent of students who received a Pell Grant at the institution and withdrew from original institution within 6 years
,983,completion.title_iv.loan_recip.transf_withdrawn_4yr_by.2yrs,LOAN_WDRAW_4YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 2 years 
,984,completion.title_iv.independ.transf_completed_2yr_by.2yrs,IND_COMP_2YR_TRANS_YR2_RT,Percent of independent students who transferred to a 2-year institution and completed within 2 years
,985,completion.title_iv.pell_recip.unknown_by.3yrs,PELL_UNKN_ORIG_YR3_RT,Percent of students who received a Pell Grant at the institution and with status unknown within 3 years at original institution
,986,academics.program.certificate_lt_2_yr.precision_production,CIP48CERT2,Certificate of at least one but less than two academic years in Precision Production.
,987,completion.3_yr_completion.no_loan_students,NOLOAN_YR3_N,Number of no-loan students in overall 3-year completion cohort
,988,completion.title_iv.pell_recip.unknown_by.4yrs,PELL_UNKN_ORIG_YR4_RT,Percent of students who received a Pell Grant at the institution and with status unknown within 4 years at original institution
,989,completion.title_iv.independ.unknown_by.8yrs,IND_UNKN_ORIG_YR8_RT,Percent of independent students with status unknown within 8 years at original institution
,990,completion.title_iv.first_gen.transf_unknown_2yr_by.6yrs,FIRSTGEN_UNKN_2YR_TRANS_YR6_RT,Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 6 years
